Date,Open,High,Low,Close,Volume
11/8/2017,43.665001,44.060001,43.5825,44.060001,97638000
11/9/2017,43.7775,44.025002,43.285,43.970001,117930400
11/10/2017,43.7775,43.845001,43.567501,43.6675,100582000
11/13/2017,43.375,43.625,43.349998,43.4925,67928400
11/14/2017,43.259998,43.369999,42.794998,42.834999,99130000
11/15/2017,42.4925,42.580002,42.095001,42.27,116632400
11/16/2017,42.794998,42.967499,42.575001,42.775002,94550000
11/17/2017,42.759998,42.8475,42.41,42.537498,87598000
11/20/2017,42.572498,42.639999,42.389999,42.494999,65049600
11/21/2017,42.695,43.424999,42.695,43.285,100525200
11/22/2017,43.34,43.75,43.262501,43.740002,102355600
11/24/2017,43.775002,43.875,43.662498,43.7425,56106800
11/27/2017,43.762501,43.77,43.334999,43.522499,82867200
11/28/2017,43.575001,43.717499,42.965,43.267502,105715200
11/29/2017,43.157501,43.23,41.790001,42.369999,166665600
11/30/2017,42.607498,43.035,42.110001,42.962502,166108800
12/1/2017,42.487499,42.9175,42.125,42.762501,159037200
12/4/2017,43.119999,43.154999,42.407501,42.450001,130169600
12/5/2017,42.264999,42.880001,42.099998,42.41,109400800
12/6/2017,41.875,42.549999,41.615002,42.252499,114240000
12/7/2017,42.2575,42.610001,42.227501,42.330002,102693200
12/8/2017,42.622501,42.75,42.205002,42.342499,93420800
12/11/2017,42.299999,43.2225,42.197498,43.1675,141095200
12/12/2017,43.037498,43.0975,42.865002,42.924999,77636800
12/13/2017,43.125,43.384998,43,43.067501,95273600
12/14/2017,43.099998,43.282501,42.912498,43.055,81906000
12/15/2017,43.407501,43.5425,43.115002,43.4925,160677200
12/18/2017,43.720001,44.299999,43.715,44.105,117684400
12/19/2017,43.7575,43.8475,43.522499,43.634998,109745600
12/20/2017,43.717499,43.855,43.3125,43.587502,93902400
12/21/2017,43.5425,44.005001,43.525002,43.752499,83799600
12/22/2017,43.669998,43.855,43.625,43.752499,65397600
12/26/2017,42.700001,42.8675,42.419998,42.642502,132742000
12/27/2017,42.525002,42.695,42.427502,42.650002,85992800
12/28/2017,42.75,42.962502,42.619999,42.77,65920800
12/29/2017,42.630001,42.647499,42.305,42.307499,103999600
1/2/2018,42.540001,43.075001,42.314999,43.064999,102223600
1/3/2018,43.1325,43.637501,42.990002,43.057499,118071600
1/4/2018,43.134998,43.3675,43.02,43.2575,89738400
1/5/2018,43.360001,43.842499,43.262501,43.75,94640000
